TYPE	Proliferation	Invasion	Metastasis	Migration	DNA_Repair	Apoptosis	Nodes	Node1	Node2	mutant1	mutant2	gene1	gene2
SINGLE	-2.3332334	3.0052889	-2.0098	-4.0166	-0.0068	3.186287	AKT_ko	AKT_ko	NA	KO	NA	AKT	NA
DOUBLE	-2.362891	2.7961873	-2.0098	-4.0166	-0.0028	2.830559	AKT_ko__AMP_ATP_ko	AKT_ko	AMP_ATP_ko	KO	KO	AKT	AMP_ATP
DOUBLE	-2.38240207	2.9993661	-2.0098	-4.0166	-0.0078	3.0163473	AKT_ko__AMP_ATP_oe	AKT_ko	AMP_ATP_oe	KO	OE	AKT	AMP_ATP
DOUBLE	-2.40912694	2.7865065	-2.0098	-4.0166	0.0012	2.8185657	AKT_ko__AMPK_ko	AKT_ko	AMPK_ko	KO	KO	AKT	AMPK
DOUBLE	-2.39381194	2.8836474	-2.0098	-4.0166	-0.006	2.7709692	AKT_ko__AMPK_oe	AKT_ko	AMPK_oe	KO	OE	AKT	AMPK
DOUBLE	-2.3484014	2.9078595	-2.0098	-4.0166	-0.00720000000000001	2.92133	AKT_ko__APAF1_ko	AKT_ko	APAF1_ko	KO	KO	AKT	APAF1
DOUBLE	-2.3214547	2.9231064	-2.0098	-4.0166	-0.004	2.9929931	AKT_ko__APAF1_oe	AKT_ko	APAF1_oe	KO	OE	AKT	APAF1
DOUBLE	-2.29431175	2.7250688	-2.0098	-4.0166	-0.007	2.790525	AKT_ko__AR_ERG_ko	AKT_ko	AR_ERG_ko	KO	KO	AKT	AR_ERG
DOUBLE	-2.37890613	3.3890219	-2.0098	-4.0166	-0.002	3.608691	AKT_ko__AR_ERG_oe	AKT_ko	AR_ERG_oe	KO	OE	AKT	AR_ERG
DOUBLE	-4.014	6.7393936	-2.0098	-4.0166	-0.0092	7.347587	AKT_ko__AR_ko	AKT_ko	AR_ko	KO	KO	AKT	AR
DOUBLE	-0.9268406	-0.5850051	-2.0098	-4.0166	-0.0018	-1.0048	AKT_ko__AR_oe	AKT_ko	AR_oe	KO	OE	AKT	AR
DOUBLE	-2.30123315	3.246791	-2.0098	-4.0166	-0.041	3.203749	AKT_ko__ATM_ko	AKT_ko	ATM_ko	KO	KO	AKT	ATM
DOUBLE	-1.9823586	1.1395995	-2.0098	-4.0166	0.0824	2.5355678	AKT_ko__ATM_oe	AKT_ko	ATM_oe	KO	OE	AKT	ATM
DOUBLE	-2.39743318	2.7013781	-2.0098	-4.0166	-0.041	2.2061814	AKT_ko__ATR_ko	AKT_ko	ATR_ko	KO	KO	AKT	ATR
DOUBLE	-1.8877118	5.8784713	-2.0098	-4.0166	-0.011	7.8119245	AKT_ko__ATR_oe	AKT_ko	ATR_oe	KO	OE	AKT	ATR
DOUBLE	-2.3708481	3.0525849	-2.0098	-4.0166	-0.0016	3.1556994	AKT_ko__AXIN1_ko	AKT_ko	AXIN1_ko	KO	KO	AKT	AXIN1
DOUBLE	-1.759898	1.3151815	-2.0098	-4.0166	-0.0078	3.09147	AKT_ko__AXIN1_oe	AKT_ko	AXIN1_oe	KO	OE	AKT	AXIN1
DOUBLE	-2.3096438	2.8853981	-2.0098	-4.0166	-0.0068	2.8865983	AKT_ko__BAD_ko	AKT_ko	BAD_ko	KO	KO	AKT	BAD
DOUBLE	-2.36864813	2.7145636	-2.0098	-4.0166	-0.003	2.756737	AKT_ko__BAD_oe	AKT_ko	BAD_oe	KO	OE	AKT	BAD
DOUBLE	-2.3566769	2.0190309	-2.0098	-4.0166	0.0146	1.9850651	AKT_ko__Bak_ko	AKT_ko	Bak_ko	KO	KO	AKT	Bak
DOUBLE	-2.34116898	3.1964509	-2.0098	-4.0166	-0.041	3.09287	AKT_ko__Bak_oe	AKT_ko	Bak_oe	KO	OE	AKT	Bak
DOUBLE	-2.38363709	3.3101409	-2.0098	-4.0166	-0.0062	3.534061	AKT_ko__BAX_ko	AKT_ko	BAX_ko	KO	KO	AKT	BAX
DOUBLE	-2.36824123	3.6401689	-2.0098	-4.0166	-0.0064	3.929542	AKT_ko__BAX_oe	AKT_ko	BAX_oe	KO	OE	AKT	BAX
DOUBLE	-2.34089087	2.7352674	-2.0098	-4.0166	-0.0042	2.759137	AKT_ko__Bcl_XL_ko	AKT_ko	Bcl_XL_ko	KO	KO	AKT	Bcl_XL
DOUBLE	-2.37667318	2.7743315	-2.0098	-4.0166	-0.000800000000000002	2.7682838	AKT_ko__Bcl_XL_oe	AKT_ko	Bcl_XL_oe	KO	OE	AKT	Bcl_XL
DOUBLE	-2.4127801	2.9953768	-2.0098	-4.0166	-0.0074	2.826513	AKT_ko__BCL2_ko	AKT_ko	BCL2_ko	KO	KO	AKT	BCL2
DOUBLE	-2.7937913	3.4282186	-2.0098	-4.0166	-0.0012	2.9960532	AKT_ko__BCL2_oe	AKT_ko	BCL2_oe	KO	OE	AKT	BCL2
DOUBLE	-0.9956572	-2.6079832	-2.0098	-4.0166	-0.0048	2.1887402	AKT_ko__beta_catenin_ko	AKT_ko	beta_catenin_ko	KO	KO	AKT	beta_catenin
